INFO   | jvm 1    | 2019/02/06 21:32:52 | 0005000010新增flmeterdata放弃,异常数据标况总量：289913标况流量：1120428360抛弃原文: 68000500001003806888c3c4004b1002000500001819020621326c7900047a390003614842c82e1442e9c28f40f5000042a70000007a390003fc24470d000000000000000000000000000066673fc680000000004cba0003001816
INFO   | jvm 1    | 2019/02/06 21:32:53 | 0005000010新增flmeterdata放弃,异常数据标况总量：411745标况流量：1120707543抛弃原文: 68000500001003c06888c3c4004b10020005000019190206213248610006c5810003a3d742cc7ae142ee5c2940ff000042a7000000c5810003af8046ed000000000000000000000000000066673fc680000000009b600003005916
INFO   | jvm 1    | 2019/02/06 21:32:54 | 0005000010新增flmeterdata放弃,异常数据标况总量：181664标况流量：1117966828抛弃原文: 68000500001004006888c3c4004b100200050000201902062132c5a0000219be0003d1ec42a2385242be70a4410d000042a700000019be00037e2946cf000000000000000000000000000066673fc68000000000eeb70002003416
INFO   | jvm 1    | 2019/02/06 21:34:37 | 0005000014新增flmeterdata放弃,异常数据总累积量：8762抛弃原文: 68000500001418406888c3c4004b100200050000251902062138000000000000000000000000000000000000000000000000000000223a0000199a44c40000000000000000000000000000147c3fce8000000000223a000000e116
INFO   | jvm 1    | 2019/02/06 21:38:33 | 0005000013新增flmeterdata放弃,异常数据标况总量：209647标况流量：1121538540抛弃原文: 6800050000130a006888c3c4004b10020005000024190206213732ef000332ef000351ec42d9d1ec42fa3333416b947b42ac00000032ef0003d900463c00000000000000000000000000000a3e3fb7800000000032c4000300de16
INFO   | jvm 1    | 2019/02/06 21:39:02 | 0005000010新增flmeterdata放弃,异常数据标况总量：289950标况流量：1120489964抛弃原文: 68000500001005006888c3c4004b1002000500001819020621396c9e00047a46000351ec42c9428f42eaf5c340f0000042a70000007a460003e7fd470d000000000000000000000000000066673fc680000000004cc70003003816
INFO   | jvm 1    | 2019/02/06 21:41:37 | 0005000005新增flmeterdata放弃,异常数据总累积量：86398抛弃原文: 68000500000504006888c3c4004b1002000500001119020621430003000000000000a13a420fa13a420fa13a420fa66642ca000000517e0001af0a44b40000000000000000000000000000eb8640118000000000517e0001001716
INFO   | jvm 1    | 2019/02/06 21:55:11 | 0005000007新增flmeterdata放弃,异常数据总累积量：29928抛弃原文: 68000500000700406888c3c4004b10020005000014190206215774e800007dc900000000000000000000026841d5e5f842c800002074e80000c66643ea000000000000000000000000000085203fcb800000000074e8000000a316
INFO   | jvm 1    | 2019/02/06 22:02:17 | 0005000012新增flmeterdata放弃,异常数据总累积量：5427抛弃原文: 6800050000120ac06888c3c4004b100200050000231902062207000000000000000000000000000000000000000000000000000000153300004eb844100000000000000000000000000000147c3fce800000000015330000009616
INFO   | jvm 1    | 2019/02/06 22:04:38 | 0005000014新增flmeterdata放弃,异常数据总累积量：8762抛弃原文: 6800050000141b006888c3c4004b100200050000251902062208000000000000000000000000000000000000000000000000000000223a0000199a44c40000000000000000000000000000147c3fce8000000000223a0000007516
INFO   | jvm 1    | 2019/02/06 22:05:11 | 0005000015新增flmeterdata放弃,异常数据标况总量：62214标况流量：1099038284抛弃原文: 6800050000151c406888c3c4004b100200050000261902062204f3060000104c0001fe4c4181d93c418a1c6d419fae8642bd000070f3060000df9d480300000000000000000000000000008f5d3fc28000000000f2a90000003a16
INFO   | jvm 1    | 2019/02/06 22:11:44 | 0005000005新增flmeterdata放弃,异常数据总累积量：86399抛弃原文: 68000500000506c06888c3c4004b1002000500001119020622130003000000000000a13a420fa13a420fa13a420fa66642ca000000517f0001661444b40000000000000000000000000000eb8640118000000000517f0001006d16
INFO   | jvm 1    | 2019/02/06 22:11:55 | 0005000008新增flmeterdata放弃,异常数据总累积量：1589400000抛弃原文: 68000500000810806888c3c4004b100200050000161902062213150004006cdc020000005c2900000000411b8a3d42b6000000000051c05ebc4d6b4c7600000000000000000000000000000a3e3fb71300000000f6c65eb8001516
